# Title: ProtoConsent Advanced Tracking Extended
# Description: Advanced or non-cookie techniques to identify or track devices across sites or sessions (extended - all sources)
# Version: 2026-04-28
# Last modified: 2026-04-28T21:38:11.821Z
# Entries: 17597
# Homepage: https://github.com/ProtoConsent/data
# License: GPL-3.0-or-later
#
0.0.0.0 0-collab.land
0.0.0.0 00-coopb144.com
0.0.0.0 000-sex.com
0.0.0.0 0000a.net
0.0.0.0 000nethost.com
0.0.0.0 000practicetree.com
0.0.0.0 000px.com
0.0.0.0 000space.com
0.0.0.0 000webapp.com
0.0.0.0 000webhost.com
0.0.0.0 000webhost.fr
0.0.0.0 000worldwide.com
0.0.0.0 005.free-counter.co.uk
0.0.0.0 00653941-apple.com
0.0.0.0 0066-google.com
0.0.0.0 007.free-counter.co.uk
0.0.0.0 007itshop.com
0.0.0.0 007mailbox.com
0.0.0.0 008.mx
0.0.0.0 00872916-apple.com
0.0.0.0 00ebjdbagyqwt.club
0.0.0.0 00game.net
0.0.0.0 00hq.com
0.0.0.0 00m.in
0.0.0.0 00px.net
0.0.0.0 01-ledger.com
0.0.0.0 01-x.com
0.0.0.0 0104-progress.pro
0.0.0.0 010hetong.com
0.0.0.0 01411.club
0.0.0.0 019821-coinbase.com
0.0.0.0 019cb848-22df-7f62-aecf-088237139825.mochausercontent.com
0.0.0.0 01apple.com
0.0.0.0 01cn.net
0.0.0.0 01forum.ru
0.0.0.0 01gmail.com
0.0.0.0 01main.com
0.0.0.0 01times.net
0.0.0.0 01us3ejq5ps.us
0.0.0.0 02-ledger.com
0.0.0.0 020banjia.org
0.0.0.0 021learning.com
0.0.0.0 023ugete.lat
0.0.0.0 025qianliexian.com
0.0.0.0 025qk.com
0.0.0.0 0281.jp
0.0.0.0 028152-coinbase.com
0.0.0.0 02827-coinbase.com
0.0.0.0 029183-gmail.com
0.0.0.0 02auth-ionossdigital.us-lax-1.linodeobjects.com
0.0.0.0 02cscosgbuzl.top
0.0.0.0 02f.info
0.0.0.0 02ip.ru
0.0.0.0 0365online.com
0.0.0.0 0392oi0-19.club
0.0.0.0 03e.info
0.0.0.0 03p.info
0.0.0.0 04-ledger.com
0.0.0.0 04consultanovidadebr.fr
0.0.0.0 04oc.com
0.0.0.0 04tips.com
0.0.0.0 05-ledger.com
0.0.0.0 06works-plus.com
0.0.0.0 07353.com
0.0.0.0 0743j.com
0.0.0.0 07634.com
0.0.0.0 079kk.com
0.0.0.0 07gmail.com
0.0.0.0 0820.com
0.0.0.0 0836e.com
0.0.0.0 08819.com
0.0.0.0 09.2026x02find.shop
0.0.0.0 0959193-ledger.com
0.0.0.0 09c1d5c3-1a6e-4c05-8e4e-eff75c6b5dd6.usrfiles.com
0.0.0.0 09cd.co.kr
0.0.0.0 09q.cc
0.0.0.0 09zyy.com
0.0.0.0 0bot.qzz.io
0.0.0.0 0cet.com
0.0.0.0 0ci.ru
0.0.0.0 0ck0.com
0.0.0.0 0dax.com
0.0.0.0 0day.cracknews.com
0.0.0.0 0didjsgheje.club
0.0.0.0 0equalsinfinity.org
0.0.0.0 0fb.info
0.0.0.0 0fees.net
0.0.0.0 0hna.com
0.0.0.0 0llaf.com
0.0.0.0 0lx.mo0rd2r.digital
0.0.0.0 0lxadostawa.info
0.0.0.0 0m4.ru
0.0.0.0 0network.com
0.0.0.0 0nf91.codesandbox.io
0.0.0.0 0nlineheipcentrelnf0-verl-flca-tion247.framer.media
0.0.0.0 0pengl.com
0.0.0.0 0porno.name
0.0.0.0 0ranges.fr
0.0.0.0 0rdp.com
0.0.0.0 0rllen.com
0.0.0.0 0s.com
0.0.0.0 0tjgpxohqru8ybw3.fantom.neriobazzano.it
0.0.0.0 0verseaskey.com
0.0.0.0 0wwdo226yexm.top
0.0.0.0 0x-mantle.xyz
0.0.0.0 0x.x.gg
0.0.0.0 0x44.info
0.0.0.0 0x9-941-c9a.sbs
0.0.0.0 0xgigs.com
0.0.0.0 0xl.ru
0.0.0.0 0xpayment.xyz
0.0.0.0 0xtoken.com
0.0.0.0 0xvolume.com
0.0.0.0 1-00000.com
0.0.0.0 1-2-1learningcenter.com
0.0.0.0 1-4-9.com
0.0.0.0 1-eobuwie.shop
0.0.0.0 1-free-share-buttons.com
0.0.0.0 1-pregnant-sex.com
0.0.0.0 1-remont.com
0.0.0.0 1-roblox.info
0.0.0.0 1-win-kz.org
0.0.0.0 1.allyes.com.cn
0.0.0.0 1.ccriff5fggzexg95.cyou
0.0.0.0 1.tcp.sa.ngrok.io
0.0.0.0 1.top4top.io
0.0.0.0 1.vg
0.0.0.0 10-google.com
0.0.0.0 100-dnei-svobody-lordfilm.ru
0.0.0.0 100-dnej-svobody-lordfilm.ru
0.0.0.0 100-dney-svobody-lordfilm.ru
0.0.0.0 100-ledowe-solary-pl.com
0.0.0.0 100-pechey-surgut.ru
0.0.0.0 1000avenue.com
0.0.0.0 1000gratisproben.com
0.0.0.0 1000islandsinfo.com
0.0.0.0 1000products.com
0.0.0.0 10011.eu.cc
0.0.0.0 10022020newfolder1002002131-service1002.space
0.0.0.0 10022020test41-service100201pro2510022020.ru
0.0.0.0 10022020test481-service1002012510022020.ru
0.0.0.0 10022020tostest371-service1002012510022020.ru
0.0.0.0 10022020uest71-service100201dom2510022020.ru
0.0.0.0 10022020utest1341-service1002012510022020.ru
0.0.0.0 10022020yes1t3481-service1002012510022020.ru
0.0.0.0 10022020yest31-service100201rus2510022020.ru
0.0.0.0 10022020yirtest231-service1002012510022020.ru
0.0.0.0 10022020yomtest251-service1002012510022020.ru
0.0.0.0 100albomov.ru
0.0.0.0 100conversions.com
0.0.0.0 100greenelephant.com
0.0.0.0 100percentopens.com
0.0.0.0 100percentopens.net
0.0.0.0 100pizzastars.ru
0.0.0.0 100pizzastars.store
0.0.0.0 100procentuptime.com
0.0.0.0 100responsible.com
0.0.0.0 100sport.tv
0.0.0.0 100x-mlt-btc.com
0.0.0.0 100xbtc.sytes.net
0.0.0.0 101-radio.ru
0.0.0.0 1010.archi
0.0.0.0 1011coffee.com
0.0.0.0 101apotheek.com
0.0.0.0 101beautyboy.com
0.0.0.0 101office.cn
0.0.0.0 101twimmihk.com
0.0.0.0 1020health.com
0.0.0.0 106b.com
0.0.0.0 108studija.lt
0.0.0.0 109klubnichnikov.store
0.0.0.0 10bbee.com
0.0.0.0 10bestchina.com
0.0.0.0 10co.biz
0.0.0.0 10cricofficial.com
0.0.0.0 10goats.com
0.0.0.0 10klamitemp.com
0.0.0.0 10nvejhblhha.com
0.0.0.0 10raw.com
0.0.0.0 10s.club
0.0.0.0 10un.jp
0.0.0.0 10xpergola.com
0.0.0.0 10xtask.com
0.0.0.0 11093.jp
0.0.0.0 11111.tv
0.0.0.0 1123uuuququq1.shop
0.0.0.0 1123uuuququq2.shop
0.0.0.0 1123uuuququq4.shop
0.0.0.0 1123uuuququq7.shop
0.0.0.0 1123uuuququq8.shop
0.0.0.0 1123uuuququq9.shop
0.0.0.0 1125telegram.vekira.top
0.0.0.0 112glass.com
0.0.0.0 112store.ru
0.0.0.0 1147.org
0.0.0.0 114central.com
0.0.0.0 114oldest.com
0.0.0.0 114yunwang.com
0.0.0.0 11716-45741.ws4.pph-server.de
0.0.0.0 118dv.com
0.0.0.0 119-google.com
0.0.0.0 11croco-fr.fr
0.0.0.0 11elephant.com
0.0.0.0 11exam.com
0.0.0.0 11gmail.com
0.0.0.0 11gram.org
0.0.0.0 11luxury.com
0.0.0.0 11n.us
0.0.0.0 11plus.hk
0.0.0.0 11plusscholars.com
0.0.0.0 11qet4bgg.life
0.0.0.0 11wealth.com
0.0.0.0 11zalo.com
0.0.0.0 12.cookcai.com
0.0.0.0 12.to
0.0.0.0 1217.cc
0.0.0.0 123.sogou.com
0.0.0.0 12338.com
0.0.0.0 123b.com
0.0.0.0 123b.org
0.0.0.0 123casino.org
0.0.0.0 123foody.com
0.0.0.0 123locker.com
0.0.0.0 123personen.de
0.0.0.0 123randkujemy.pl
0.0.0.0 123sheying.com
0.0.0.0 123tradeoption.com
0.0.0.0 124.cpanel.realwebsitesite.com
0.0.0.0 1240zionroad.com
0.0.0.0 127.demdex.net
0.0.0.0 128747-recovery.com
0.0.0.0 12directions.com
0.0.0.0 12hack.com
0.0.0.0 12luxury.com
0.0.0.0 12mlbe.com
0.0.0.0 12monki-redirect.com
0.0.0.0 12monkiredirect.com
0.0.0.0 12research.com
0.0.0.0 12wet.com
0.0.0.0 12xgetsready12.monster
0.0.0.0 1312services.ru
0.0.0.0 1312stealer.ru
0.0.0.0 1314huadian.com
0.0.0.0 1330teasley.com
0.0.0.0 1331hairshop.com
0.0.0.0 13366.cc
0.0.0.0 1337.co.at
0.0.0.0 1337x.so
0.0.0.0 133ex.com
0.0.0.0 135villa.com
0.0.0.0 136-google.com
0.0.0.0 1388725-coinbase.com
0.0.0.0 139jiaoyu.com
0.0.0.0 13luxury.com
0.0.0.0 13pope.com
0.0.0.0 13r.lg.ua
0.0.0.0 140064-coinbase.com
0.0.0.0 14198.com
0.0.0.0 141angel.com
0.0.0.0 1435823-coinbase.com
0.0.0.0 144.dragonparking.com
0.0.0.0 1448591-coinbase.com
0.0.0.0 146475-coinbase.com
0.0.0.0 146745-coinbase.com
0.0.0.0 146754-coinbase.com
0.0.0.0 1480876790.rsc.cdn77.org
0.0.0.0 14teen.com
0.0.0.0 15-google.com
0.0.0.0 15672162-coinbase.com
0.0.0.0 1583047-coinbase.com
0.0.0.0 15gmail.com
0.0.0.0 15min.it
0.0.0.0 16074.com
0.0.0.0 161-google.com
0.0.0.0 1621insurrection.com
0.0.0.0 1628935-coinbase.com
0.0.0.0 163kuailian.com.cn
0.0.0.0 163wc.com
0.0.0.0 164397-coinbase.com
0.0.0.0 166-google.com
0.0.0.0 16612.cc
0.0.0.0 16618.cc
0.0.0.0 166qp.com
0.0.0.0 1677653-coinbase.com
0.0.0.0 168393-coinbase.com
0.0.0.0 168av.com
0.0.0.0 169385-coinbase.com
0.0.0.0 16games.it
0.0.0.0 16gang.com
0.0.0.0 16gmail.com
0.0.0.0 16mu3tfz.com
0.0.0.0 17-inch.de
0.0.0.0 1717.1000uc.com
0.0.0.0 171829-coinbase.com
0.0.0.0 171869-coinbase.com
0.0.0.0 172839-coinbase.com
0.0.0.0 173591-coinbase.com
0.0.0.0 173ii.com
0.0.0.0 1743920-coinbase.com
0.0.0.0 174693-coinbase.com
0.0.0.0 1753844-coinbase.com
0.0.0.0 175839-coinbase.com
0.0.0.0 176543-coinbase.com
0.0.0.0 179583c-coinbase.com
0.0.0.0 17990.vicp.net
0.0.0.0 179wg.com
0.0.0.0 17com-live.com
0.0.0.0 17gmail.com
0.0.0.0 17prosnowmeprona.za.com
0.0.0.0 17viva.com
0.0.0.0 17viva.net
0.0.0.0 1800-server.com
0.0.0.0 1800fdlowers.com
0.0.0.0 1800flowerx.com
0.0.0.0 1800sweepstakes.com
0.0.0.0 1800tlowers.com
0.0.0.0 1817596-coinbase.com
0.0.0.0 18272-coinbase.com
0.0.0.0 18273-coinbase.com
0.0.0.0 182849-coinbase.com
0.0.0.0 1837049-coinbase.com
0.0.0.0 184123-coinbase.com
0.0.0.0 18493821-coinbase.com
0.0.0.0 1864736-coinbase.com
0.0.0.0 18744.com
0.0.0.0 187538-coinbase.com
0.0.0.0 187586a-coinbase.com
0.0.0.0 1876sroberta.com
0.0.0.0 1878.info
0.0.0.0 1886billings.com
0.0.0.0 1888.info
0.0.0.0 189747a-coinbase.com
0.0.0.0 18avb.com
0.0.0.0 18cum.com
0.0.0.0 18est.com
0.0.0.0 18gmail.com
0.0.0.0 18pet.com
0.0.0.0 18realestate.com
0.0.0.0 18rosedalerecords.com
0.0.0.0 18shame.com
0.0.0.0 18teens.xyz
0.0.0.0 18xn.com
0.0.0.0 19-region.store
0.0.0.0 19-wgdvxb-xbneiu-zbvxgg.oss-ap-northeast-2.aliyuncs.com
0.0.0.0 1900smarket.com
0.0.0.0 19093.jp
0.0.0.0 191852-coinbase.com
0.0.0.0 1919-chat.tv
0.0.0.0 1920t.com
0.0.0.0 19233-coinbase.com
0.0.0.0 1928475-coinbase.com
0.0.0.0 193585-coinbase.com
0.0.0.0 19373-coinbase.com
0.0.0.0 193878-coinbase.com
0.0.0.0 194268-coinbase.com
0.0.0.0 1945815-coinbase.com
0.0.0.0 19472-gmail.com
0.0.0.0 19478-gmail.com
0.0.0.0 1948562-coinbase.com
0.0.0.0 1949129-ledger.com
0.0.0.0 195892-coinbase.com
0.0.0.0 197.one
0.0.0.0 197829-coinbase.com
0.0.0.0 19gmail.com
0.0.0.0 1abzar.ir
0.0.0.0 1account-apple.com
